Train File,Test File,j,c,t,b,# FN ,# FP,Accuracy,Precision,Recall,F1,F.5
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,1,1,0,1824,1613,0.6563,0.7596125186289121,0.7364542696142176,0.7478541559680141,0.7548650810106335
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,10,1,0,2068,1433,0.6498999999999999,0.772033089405027,0.7011992486634879,0.7349133035511471,0.7567441135194136
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.5,100,1,0,2129,1365,0.6506000000000001,0.7783011206756537,0.6923854934258055,0.7328337666309833,0.7594535484484453
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,1,1,0,144,2873,0.6982999999999999,0.702279792746114,0.9791937581274383,0.8179349465934465,0.7443817139342281
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,10,1,0,168,2840,0.6992,0.7039507974564787,0.9757260511486779,0.8178515199224901,0.7454794339081093
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.75,100,1,0,216,2757,0.7027,0.7086239695624603,0.9687906371911573,0.8185314045046693,0.7488440662065269
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,1,1,0,67,2952,0.6980999999999999,0.6989598205180502,0.9903193180176275,0.8195133616308962,0.7426590096435151
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,10,1,0,62,2960,0.6978,0.6985436398818617,0.991041756971536,0.8194743130227001,0.7423642227850293
../data/svm_bin_norm/dat_1.txt,../data/svm_bin_norm/dat_10.txt,0.9,100,1,0,78,2941,0.6980999999999999,0.6994071954210956,0.988729952319029,0.8192756659682728,0.742883817877847
